GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC02_EST_VC01,HC04_EST_VC01,HC01_EST_VC36,HC02_EST_VC36,HC04_EST_VC36,HC01_EST_VC37,HC02_EST_VC37,HC04_EST_VC37
Id,Id2,Geography,Total; Estimate; Population 16 years and over,Labor Force Participation Rate; Estimate; Population 16 years and over,Unemployment rate; Estimate; Population 16 years and over,Total; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Labor Force Participation Rate; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Unemployment rate; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Below poverty level,Total; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - At or above the poverty level,Labor Force Participation Rate; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - At or above the poverty level,Unemployment rate; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - At or above the poverty level
1400000US06073009305,06073009305,"Census Tract 93.05, San Diego County, California",4377,73.4,7.1,495,43.6,38.9,3264,85.7,3.8
1400000US06073009306,06073009306,"Census Tract 93.06, San Diego County, California",5227,81.7,5.5,643,64.7,11.5,3860,90.7,4.9
1400000US06073009400,06073009400,"Census Tract 94, San Diego County, California",4055,89.0,21.1,55,47.3,64.7,951,75.9,19.8
1400000US06073009502,06073009502,"Census Tract 95.02, San Diego County, California",3167,62.7,6.4,133,46.6,32.3,2225,82.5,5.8
1400000US06073009504,06073009504,"Census Tract 95.04, San Diego County, California",5101,65.6,3.6,41,22.0,0.0,3943,76.8,3.3
1400000US06073009505,06073009505,"Census Tract 95.05, San Diego County, California",5623,74.1,5.4,180,70.0,34.1,4238,87.4,4.3
1400000US06073009506,06073009506,"Census Tract 95.06, San Diego County, California",3405,70.0,5.6,137,40.1,38.2,2498,85.2,4.8
1400000US06073009507,06073009507,"Census Tract 95.07, San Diego County, California",2955,67.8,5.0,190,47.9,1.1,2158,81.1,5.7
1400000US06073009509,06073009509,"Census Tract 95.09, San Diego County, California",3016,79.2,3.2,164,61.0,0.0,2387,88.9,3.0
1400000US06073009510,06073009510,"Census Tract 95.10, San Diego County, California",2571,68.7,14.8,192,56.3,37.7,2139,75.6,10.1
1400000US06073009511,06073009511,"Census Tract 95.11, San Diego County, California",2077,62.4,11.6,99,39.4,70.4,1812,65.8,8.5
1400000US06073009602,06073009602,"Census Tract 96.02, San Diego County, California",3198,64.6,4.2,53,56.6,26.7,2221,85.4,3.2
1400000US06073009603,06073009603,"Census Tract 96.03, San Diego County, California",4705,70.6,8.4,608,41.4,17.5,3277,87.6,5.5
1400000US06073009604,06073009604,"Census Tract 96.04, San Diego County, California",3078,65.4,8.4,190,31.6,61.7,2122,84.1,6.5
1400000US06073009703,06073009703,"Census Tract 97.03, San Diego County, California",2866,59.9,8.3,147,21.1,0.0,1903,81.7,8.1
1400000US06073009704,06073009704,"Census Tract 97.04, San Diego County, California",4657,65.9,6.3,127,53.5,17.6,3307,84.4,6.0
1400000US06073009705,06073009705,"Census Tract 97.05, San Diego County, California",3062,64.5,4.1,272,57.0,20.6,1891,88.4,2.6
1400000US06073009706,06073009706,"Census Tract 97.06, San Diego County, California",5879,58.3,9.2,209,33.5,0.0,3434,86.1,9.6
1400000US06073009801,06073009801,"Census Tract 98.01, San Diego County, California",3988,60.9,3.8,203,52.7,34.6,2502,86.2,1.4
1400000US06073009802,06073009802,"Census Tract 98.02, San Diego County, California",5488,59.9,11.3,511,47.0,31.7,3690,74.2,9.2
